   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   206.000 MeV  1.5086E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   207.000 MeV  1.5031E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   208.000 MeV  1.4976E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   209.000 MeV  1.4922E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   210.000 MeV  1.4868E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   211.000 MeV  1.4815E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   212.000 MeV  1.4762E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   213.000 MeV  1.4710E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   214.000 MeV  1.4658E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   215.000 MeV  1.4607E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   216.000 MeV  1.4556E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   217.000 MeV  1.4506E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   218.000 MeV  1.4456E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   219.000 MeV  1.4406E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   220.000 MeV  1.4357E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   221.000 MeV  1.4308E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   222.000 MeV  1.4260E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   223.000 MeV  1.4212E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   224.000 MeV  1.4164E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   225.000 MeV  1.4117E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   226.000 MeV  1.4071E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   227.000 MeV  1.4024E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   228.000 MeV  1.3979E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   229.000 MeV  1.3933E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   230.000 MeV  1.3888E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   231.000 MeV  1.3843E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   232.000 MeV  1.3799E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
