   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   207.000 MeV  3.2500E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   208.000 MeV  3.2371E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   209.000 MeV  3.2242E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   210.000 MeV  3.2115E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   211.000 MeV  3.1989E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   212.000 MeV  3.1864E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   213.000 MeV  3.1740E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   214.000 MeV  3.1617E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   215.000 MeV  3.1495E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   216.000 MeV  3.1374E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   217.000 MeV  3.1254E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   218.000 MeV  3.1135E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   219.000 MeV  3.1018E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   220.000 MeV  3.0901E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   221.000 MeV  3.0785E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   222.000 MeV  3.0670E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   223.000 MeV  3.0557E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   224.000 MeV  3.0444E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   225.000 MeV  3.0332E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   226.000 MeV  3.0221E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   227.000 MeV  3.0111E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   228.000 MeV  3.0002E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   229.000 MeV  2.9893E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   230.000 MeV  2.9786E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
