   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   227.000 MeV  1.9127E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   228.000 MeV  1.9061E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   229.000 MeV  1.8995E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   230.000 MeV  1.8931E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   231.000 MeV  1.8866E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   232.000 MeV  1.8802E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   233.000 MeV  1.8739E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   234.000 MeV  1.8676E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   235.000 MeV  1.8613E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   236.000 MeV  1.8552E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   237.000 MeV  1.8490E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   238.000 MeV  1.8429E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   239.000 MeV  1.8369E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   240.000 MeV  1.8309E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   241.000 MeV  1.8250E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   242.000 MeV  1.8191E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   243.000 MeV  1.8132E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   244.000 MeV  1.8074E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
