psa,event,x,y,z,pad
max,2,-22.0871,15.5519,775.52,428
max,2,-29.4494,22.704,775.52,713
max,2,88.3482,107.717,775.52,3355
max,2,-34.3577,22.704,777.36,710
max,2,-31.9035,24.0532,777.36,712
max,2,-19.6329,14.2027,777.36,431
max,2,-88.3483,39.7067,777.36,1228
max,2,-58.8988,22.704,779.2,689
max,2,-90.8024,41.0558,779.2,1227
max,2,-90.8024,32.5545,779.2,948
max,2,-93.2565,31.2053,779.2,946
max,2,-46.6282,15.5519,779.2,409
max,2,-41.72,26.9547,779.2,989
max,2,-46.6282,24.0532,781.04,699
max,2,-44.1741,14.2027,781.04,410
max,2,-88.3483,36.8052,784.72,1229
max,2,88.3482,104.816,784.72,3356
max,2,-85.8941,41.0558,784.72,1230
max,2,-39.2659,14.2027,786.56,415
max,2,85.8941,103.467,786.56,3353
max,2,-127.614,45.3065,792.08,1467
max,2,-39.2659,28.3038,795.76,990
max,2,-125.16,52.4586,795.76,1735
max,2,-127.614,48.208,795.76,1468
max,2,90.8023,103.467,799.44,3358
max,2,-31.9035,18.4534,801.28,711
max,2,-73.6235,39.7067,801.28,1241
max,2,-22.0871,24.0532,803.12,720
max,2,-26.9953,24.0532,803.12,715
max,2,85.8941,100.565,803.12,3130
max,2,-29.4494,11.3012,803.12,422
max,2,-53.9906,45.3065,803.12,1528
max,2,-31.9035,15.5519,803.12,420
max,2,-112.889,36.8052,804.96,1208
max,2,-76.0777,41.0558,806.8,1238
max,2,-36.8118,26.9547,806.8,992
max,2,-53.9906,-133.221,806.8,8983
max,2,-90.8024,43.9573,806.8,1498
max,2,-122.706,48.208,808.64,1471
max,2,-130.068,43.9573,810.48,1466
max,2,-78.5318,39.7067,812.32,1236
max,2,90.8023,100.565,812.32,3135
max,2,-125.16,49.5571,814.16,1470
max,2,88.3482,99.2159,814.16,3133
max,2,-49.0824,31.2053,821.52,983
max,2,93.2565,53.8078,823.36,1912
max,2,-122.706,53.8078,825.2,1736
max,2,-39.2659,31.2053,825.2,991
max,2,-41.72,15.5519,827.04,412
max,2,-53.9906,31.2053,828.88,978
max,2,88.3482,96.3143,828.88,3132
max,2,-44.1741,28.3038,828.88,987
max,2,-125.16,43.9573,830.72,1469
max,2,-51.5365,32.5545,832.56,980
max,2,-71.1694,41.0558,834.4,1243
max,2,-41.72,32.5545,834.4,988
max,2,-78.5318,36.8052,838.08,1237
max,2,-68.7153,-104.816,841.76,8348
max,2,-56.4447,-128.97,841.76,8981
max,2,-117.798,45.3065,843.6,1475
max,2,-44.1741,31.2053,843.6,986
max,2,-53.9906,39.7067,843.6,1257
max,2,-56.4447,35.456,845.44,1255
max,2,90.8023,94.9652,845.44,3134
max,2,93.2565,96.3143,845.44,3137
max,2,-51.5365,41.0558,850.96,1259
max,2,-56.4447,41.0558,854.64,1254
max,2,-115.344,49.5571,858.32,1478
max,2,-120.252,41.0558,858.32,1203
max,2,-53.9906,36.8052,858.32,1256
max,2,90.8023,92.0637,860.16,2904
max,2,-80.9859,35.456,860.16,1234
max,2,-112.889,39.7067,860.16,1209
max,2,-49.0823,36.8052,862,1261
max,2,-63.8071,36.8052,862,1248
max,2,-61.353,35.456,862,1250
max,2,-110.435,41.0558,862,1211
max,2,-51.5365,35.456,863.84,1258
max,2,-46.6282,35.456,863.84,1263
max,2,-117.798,39.7067,863.84,1204
max,2,-115.344,43.9573,863.84,1477
max,2,-110.435,49.5571,865.68,1481
max,2,-58.8988,39.7067,865.68,1252
max,2,-58.8988,36.8052,865.68,1253
max,2,-49.0823,39.7067,869.36,1260
max,2,-46.6282,41.0558,869.36,1262
max,2,-44.1741,39.7067,869.36,1265
max,2,-115.344,41.0558,869.36,1206
max,2,-36.8118,32.5545,869.36,993
max,2,-112.889,48.208,871.2,1479
max,2,-120.252,43.9573,871.2,1474
max,2,93.2565,90.7145,871.2,2907
max,2,-46.6282,32.5545,873.04,985
max,2,-68.7153,-121.818,874.88,8772
max,2,-41.72,35.456,874.88,1266
max,2,-112.889,-206.899,878.56,9831
max,2,-36.8118,35.456,884.08,1271
max,2,-39.2659,36.8052,884.08,1269
max,2,-117.798,48.208,884.08,1476
max,2,93.2565,87.813,884.08,2906
max,2,-34.3577,31.2053,889.6,994
max,2,-201.238,-150.359,889.6,9226
max,2,-73.6235,70.8104,889.6,2287
max,2,-93.2565,121.886,889.6,3636
max,2,90.8023,86.4639,891.44,2905
max,2,-98.1647,124.855,891.44,3635
max,2,-93.2565,99.2159,891.44,2984
max,2,-171.788,-116.354,895.12,8529
max,2,-80.9859,109.066,896.96,3218
max,2,-80.9859,103.467,898.8,3217
max,2,95.7106,86.4639,902.48,2908
max,2,-53.9906,65.2106,902.48,2051
max,2,-85.8941,103.467,902.48,3214
max,2,-88.3482,104.816,902.48,3212
max,2,-88.3482,99.2159,904.32,2989
max,2,-56.4447,52.4586,906.16,1791
max,2,90.8023,83.5624,906.16,2667
max,2,-137.431,-96.3821,906.16,8091
max,2,-93.2565,107.717,908,3208
max,2,-90.8024,111.968,909.84,3426
max,2,-78.5318,104.816,909.84,3220
max,2,93.2565,82.2132,909.84,2668
max,2,95.7106,83.5624,909.84,2670
max,2,-63.8071,65.2106,913.52,2043
max,2,-112.889,-56.7093,913.52,6865
max,2,-44.1741,53.8078,913.52,1800
max,2,-58.8988,56.7093,915.36,1788
max,2,-68.7153,70.8104,915.36,2292
max,2,-142.339,82.3487,915.36,2496
max,2,-56.4447,69.4613,917.2,2302
max,2,-49.0823,62.3091,919.04,2055
max,2,-88.3482,113.317,919.04,3427
max,2,-71.1694,75.0611,919.04,2290
max,2,-29.4494,31.2053,919.04,999
max,2,-78.5318,79.3117,919.04,2528
max,2,-83.44,104.816,919.04,3215
max,2,-39.2659,39.7067,920.88,1268
max,2,-34.3576,36.8052,922.72,1272
max,2,-85.8941,117.568,922.72,3430
max,2,-46.6282,58.0584,924.56,1798
max,2,-58.8988,65.2106,926.4,2048
max,2,-93.2565,116.354,926.4,3425
max,2,-36.8118,41.0558,928.24,1270
max,2,-211.054,133.357,928.24,3815
max,2,-22.0871,120.469,928.24,3689
max,2,93.2565,79.3117,930.08,2669
max,2,-88.3482,116.218,930.08,3428
max,2,-63.8071,70.8104,931.92,2295
max,2,-147.247,90.85,931.92,2736
max,2,-39.2659,45.3065,935.6,1539
max,2,-186.513,96.3821,935.6,2961
max,2,-34.3576,39.7067,937.44,1273
max,2,98.1647,79.3117,937.44,2672
max,2,-51.5365,60.9599,939.28,2054
max,2,-85.8941,111.968,939.28,3429
max,2,-152.155,189.897,939.28,4550
max,2,95.7106,77.9626,941.12,2671
max,2,90.8023,77.9626,942.96,2666
max,2,-41.72,49.5571,944.8,1537
max,2,-95.7106,94.9652,944.8,2982
max,2,-29.4494,181.395,944.8,4494
max,2,-39.2659,53.8078,944.8,1805
max,2,-90.8024,109.066,948.48,3210
max,2,-83.44,113.317,948.48,3432
max,2,-34.3576,167.362,948.48,4322
max,2,-44.1741,36.8052,950.32,1264
max,2,-31.9035,32.5545,950.32,996
max,2,-41.72,43.9573,955.84,1538
max,2,90.8023,75.0611,955.84,2421
max,2,95.7106,75.0611,957.68,2426
max,2,-26.9953,26.9547,959.52,1000
max,2,-41.72,41.0558,959.52,1267
max,2,-78.5318,87.813,959.52,2767
max,2,93.2565,73.7119,961.36,2424
max,2,-24.5412,240.904,961.36,4981
max,2,-31.9035,35.456,961.36,1274
max,2,98.1647,73.7119,963.2,2427
max,2,-58.8988,-87.813,965.04,7903
max,2,-44.1741,45.3065,966.88,1536
max,2,-73.6235,82.2132,966.88,2532
max,2,-49.0824,70.8104,966.88,2308
max,2,-76.0776,86.4639,966.88,2769
max,2,-68.7153,90.7145,966.88,2774
max,2,-56.4447,66.5598,966.88,2050
max,2,-127.614,130.387,968.72,3832
max,2,-31.9035,41.0558,972.4,1275
max,2,-66.2612,86.4639,972.4,2777
max,2,-61.3529,75.0611,974.24,2298
max,2,-36.8118,49.5571,976.08,1542
max,2,-39.2659,56.7093,976.08,1804
max,2,-36.8118,43.9573,977.92,1541
max,2,-61.3529,60.9599,977.92,2046
max,2,-34.3576,45.3065,979.76,1544
max,2,98.1647,70.8104,981.6,2428
