psa,x,y,z,pad,mult,rank
max,7.36234,49.5571,457.2,1577,1,0
max,7.36237,43.9573,453.52,1578,1,0
max,9.81649,48.208,453.52,1580,1,0
max,12.2706,43.9573,385.44,1581,1,0
max,12.2706,49.5571,387.28,1582,1,0
max,14.7247,48.208,387.28,1583,1,0
max,14.7247,45.3065,387.28,1584,1,0
max,122.706,45.3065,838.08,1672,1,0
max,-171.788,53.8755,425.92,1725,1,0
max,-166.88,56.8448,424.08,1726,1,0
max,-161.972,53.8755,486.64,1727,1,0
max,-157.064,56.8448,486.64,1728,1,0
max,-152.155,53.8755,540,1729,1,0
max,-147.247,56.8448,540,1730,1,0
max,-142.339,53.8755,595.2,1731,1,0
max,-137.431,56.8448,595.2,1732,1,0
max,-132.522,53.8755,595.2,1733,1,0
max,-127.614,56.8448,639.36,1734,1,0
max,-122.706,53.8078,639.36,1736,1,0
max,-122.706,56.7093,635.68,1737,1,0
max,-120.252,52.4586,637.52,1738,1,0
max,-120.252,58.0584,635.68,1739,1,0
max,-117.798,56.7093,641.2,1740,1,0
max,-117.798,53.8078,637.52,1741,1,0
max,-115.344,58.0584,635.68,1742,1,0
max,-115.344,52.4586,637.52,1743,1,0
max,-112.889,53.8078,635.68,1744,1,0
max,-71.1694,52.4586,654.08,1778,1,0
max,-68.7153,53.8078,655.92,1781,1,0
max,-66.2612,52.4586,654.08,1783,1,0
max,-63.8071,53.8078,654.08,1784,1,0
max,-63.8071,56.7093,655.92,1785,1,0
max,-61.353,52.4586,654.08,1786,1,0
max,-61.3529,58.0584,655.92,1787,1,0
max,-58.8988,56.7093,655.92,1788,1,0
max,-58.8988,53.8078,654.08,1789,1,0
max,-56.4447,58.0584,655.92,1790,1,0
max,-56.4447,52.4586,654.08,1791,1,0
max,-53.9906,53.8078,654.08,1792,1,0
max,-53.9906,56.7093,655.92,1793,1,0
max,-51.5365,52.4586,654.08,1794,1,0
max,-51.5365,58.0584,655.92,1795,1,0
max,-49.0823,56.7093,655.92,1796,1,0
max,-49.0823,53.8078,652.24,1797,1,0
max,-39.2659,53.8078,792.08,1805,1,0
max,-31.9035,52.4586,613.6,1810,1,0
max,-31.9035,58.0584,611.76,1811,1,0
max,-29.4494,56.7093,613.6,1812,1,0
max,-29.4494,53.8078,613.6,1813,1,0
max,-26.9953,58.0584,613.6,1814,1,0
max,-26.9953,52.4586,613.6,1815,1,0
max,-24.5412,53.8078,611.76,1816,1,0
max,-24.5412,56.7093,613.6,1817,1,0
max,-22.0871,52.4586,613.6,1818,1,0
max,-17.1788,58.0584,565.76,1822,1,0
max,-17.1788,52.4586,563.92,1823,1,0
max,-14.7247,53.8078,563.92,1824,1,0
max,-14.7247,56.7093,565.76,1825,1,0
max,-12.2706,52.4586,563.92,1826,1,0
max,-12.2706,58.0584,563.92,1827,1,0
max,-9.81648,56.7093,563.92,1828,1,0
max,-9.81648,53.8078,563.92,1829,1,0
max,-4.90825,53.8078,510.56,1832,1,0
max,-4.90825,56.7093,510.56,1833,1,0
max,-2.45413,52.4586,510.56,1834,1,0
max,-2.45413,58.0584,510.56,1835,1,0
max,-1.14441e-05,56.7093,512.4,1836,1,0
max,-1.14441e-05,53.8078,510.56,1837,1,0
max,2.4541,52.4586,453.52,1839,1,0
max,4.90822,53.8078,455.36,1840,1,0
max,4.90822,56.7093,455.36,1841,1,0
max,7.36234,52.4586,455.36,1842,1,0
max,7.36237,58.0584,457.2,1843,1,0
max,9.81649,56.7093,455.36,1844,1,0
max,9.81649,53.8078,455.36,1845,1,0
max,12.2706,58.0584,389.12,1846,1,0
max,12.2706,52.4586,389.12,1847,1,0
max,14.7247,53.8078,389.12,1848,1,0
max,14.7247,56.7093,389.12,1849,1,0
max,17.1788,52.4586,389.12,1850,1,0
max,17.1788,58.0584,389.12,1851,1,0
max,46.6282,52.4586,1003.68,1874,1,0
max,68.7153,53.8078,1007.36,1893,1,0
max,117.798,53.8078,1018.4,1933,1,0
max,-171.788,65.3461,424.08,1987,1,0
max,-166.88,62.3768,424.08,1988,1,0
max,-161.972,65.3461,484.8,1989,1,0
max,-157.064,62.3768,484.8,1990,1,0
max,-152.155,65.3461,540,1991,1,0
max,-147.247,62.3768,540,1992,1,0
max,-137.431,62.3768,591.52,1994,1,0
max,-132.522,65.3461,589.68,1995,1,0
max,-127.614,62.3768,635.68,1996,1,0
max,-122.706,65.3461,633.84,1997,1,0
max,-120.252,60.9599,635.68,1998,1,0
max,-117.798,62.3091,635.68,1999,1,0
max,-117.798,65.2106,635.68,2000,1,0
max,-115.344,60.9599,633.84,2001,1,0
max,-115.344,66.5598,635.68,2002,1,0
max,-103.073,65.2106,633.84,2011,1,0
max,-90.8024,60.9599,633.84,2022,1,0
max,-85.8941,60.9599,589.68,2025,1,0
max,-83.44,62.3091,589.68,2028,1,0
max,-66.2612,66.5598,655.92,2042,1,0
max,-63.8071,65.2106,657.76,2043,1,0
max,-63.8071,62.3091,657.76,2044,1,0
max,-61.353,66.5598,657.76,2045,1,0
max,-61.3529,60.9599,655.92,2046,1,0
max,-58.8988,62.3091,654.08,2047,1,0
max,-58.8988,65.2106,657.76,2048,1,0
max,-56.4447,60.9599,655.92,2049,1,0
max,-56.4447,66.5598,657.76,2050,1,0
