pad,x,y
734,-4.90825,22.704
735,-2.45413,18.4534
736,-2.45413,24.0532
737,-1.33514e-05,22.704
738,-1.33514e-05,19.8025
739,2.4541,24.0532
740,2.45413,18.4534
741,4.90825,19.8025
742,4.90825,22.704
743,7.36237,18.4534
744,7.36237,24.0532
745,9.81648,22.704
746,9.81648,19.8025
747,12.2706,24.0532
748,12.2706,18.4534
749,14.7247,19.8025
750,14.7247,22.704
751,17.1788,18.4534
752,17.1788,24.0532
753,19.6329,22.704
754,19.6329,19.8025
755,22.0871,24.0532
756,22.0871,18.4534
757,24.5412,19.8025
758,24.5412,22.704
759,26.9953,18.4534
760,26.9953,24.0532
761,29.4494,22.704
762,29.4494,19.8025
763,31.9035,24.0532
764,31.9035,18.4534
765,34.3577,19.8025
766,34.3577,22.704
767,36.8118,18.4534
768,36.8118,24.0532
769,39.2659,22.704
770,39.2659,19.8025
771,41.72,24.0532
772,41.72,18.4534
773,44.1741,19.8025
774,44.1741,22.704
775,46.6282,18.4534
776,46.6282,24.0532
777,49.0824,22.704
778,49.0824,19.8025
779,51.5365,24.0532
780,51.5365,18.4534
781,53.9906,19.8025
782,53.9906,22.704
783,56.4447,18.4534
784,56.4447,24.0532
785,58.8988,22.704
786,58.8988,19.8025
787,61.3529,24.0532
788,61.3529,18.4534
789,63.8071,19.8025
790,63.8071,22.704
791,66.2612,18.4534
792,66.2612,24.0532
793,68.7153,22.704
794,68.7153,19.8025
795,71.1694,24.0532
796,71.1694,18.4534
797,73.6235,19.8025
798,73.6235,22.704
799,76.0776,18.4534
800,76.0776,24.0532
801,78.5318,22.704
802,78.5318,19.8025
803,80.9859,24.0532
804,80.9859,18.4534
805,83.44,19.8025
806,83.44,22.704
807,85.8941,18.4534
808,85.8941,24.0532
809,88.3483,22.704
810,88.3483,19.8025
811,90.8024,24.0532
812,90.8024,18.4534
813,93.2565,19.8025
814,93.2565,22.704
815,95.7106,18.4534
816,95.7106,24.0532
817,98.1647,22.704
818,98.1647,19.8025
819,100.619,24.0532
820,100.619,18.4534
821,103.073,19.8025
822,103.073,22.704
823,105.527,18.4534
824,105.527,24.0532
826,107.981,19.8025
827,110.435,24.0532
828,110.435,18.4534
829,112.889,19.8025
830,112.889,22.704
831,115.344,18.4534
832,115.344,24.0532
833,117.798,22.704
834,117.798,19.8025
835,120.252,24.0532
836,120.252,18.4534
837,122.706,19.8025
838,122.706,22.704
839,125.16,18.4534
840,125.16,24.0532
841,127.614,22.704
842,127.614,19.8025
843,130.068,24.0532
844,130.068,18.4534
845,132.522,19.8025
846,132.522,22.704
847,134.976,18.4534
848,134.976,24.0532
849,137.431,22.704
850,137.431,19.8025
851,139.885,24.0532
852,139.885,18.4534
853,142.339,19.8025
854,142.339,22.704
855,144.793,18.4534
856,147.247,22.8395
857,152.155,19.8703
